Gen	tau_4MEFEOG	tau_5MEFE	lnL
177480	0.021888	0.021871	-347068.853
177490	0.021864	0.021859	-347074.572
177500	0.022013	0.021990	-347082.301
177510	0.022137	0.022112	-347067.094
177520	0.022075	0.022060	-347065.505
177530	0.021871	0.021862	-347052.402
177540	0.022032	0.022018	-347087.309
177550	0.021983	0.021966	-347082.093
177560	0.021901	0.021847	-347068.388
177570	0.022378	0.022355	-347067.980
177580	0.022523	0.022504	-347067.803
177590	0.021988	0.021971	-347104.831
177600	0.022323	0.022289	-347066.441
177610	0.022598	0.022539	-347052.637
177620	0.022467	0.022451	-347119.473
177630	0.023057	0.022996	-347069.360
177640	0.023059	0.023005	-347079.619
177650	0.022428	0.022391	-347073.103
177660	0.022667	0.022620	-347073.449
177670	0.023036	0.023008	-347056.359
177680	0.022618	0.022609	-347060.420
177690	0.022979	0.022919	-347079.513
177700	0.023043	0.022967	-347088.269
177710	0.022913	0.022887	-347098.298
177720	0.022970	0.022932	-347093.782
177730	0.022909	0.022883	-347078.753
177740	0.023027	0.023008	-347092.159
177750	0.023476	0.023432	-347088.604
177760	0.022974	0.022889	-347103.297
177770	0.023820	0.023724	-347101.005
177780	0.022828	0.022753	-347068.758
177790	0.022827	0.022817	-347057.115
177800	0.022911	0.022878	-347083.028
177810	0.022543	0.022497	-347074.777
177820	0.022797	0.022765	-347071.255
177830	0.022809	0.022803	-347085.992
177840	0.022568	0.022538	-347068.209
177850	0.022719	0.022702	-347074.922
177860	0.022803	0.022768	-347073.595
177870	0.022487	0.022483	-347045.599
177880	0.022285	0.022252	-347052.267
177890	0.022592	0.022572	-347071.776
177900	0.022713	0.022706	-347061.848
177910	0.022886	0.022861	-347068.179
177920	0.022499	0.022486	-347094.493
177930	0.022523	0.022499	-347084.372
177940	0.022688	0.022662	-347056.938
177950	0.023058	0.023016	-347056.247
177960	0.022634	0.022618	-347053.409
177970	0.022737	0.022703	-347056.595
177980	0.022618	0.022577	-347069.706
177990	0.022614	0.022589	-347068.497
178000	0.022373	0.022358	-347064.824
178010	0.022322	0.022304	-347050.449
178020	0.022767	0.022720	-347076.738
178030	0.022618	0.022594	-347108.523
178040	0.022616	0.022602	-347072.478
178050	0.022539	0.022529	-347081.057
178060	0.022534	0.022529	-347068.541
178070	0.022534	0.022530	-347055.737
178080	0.022907	0.022899	-347068.217
178090	0.022527	0.022492	-347092.453
178100	0.022680	0.022657	-347087.602
178110	0.022396	0.022393	-347092.279
178120	0.022251	0.022243	-347072.818
178130	0.022865	0.022865	-347047.070
178140	0.022547	0.022545	-347074.590
178150	0.022848	0.022835	-347069.587
178160	0.022848	0.022844	-347042.221
178170	0.023058	0.023053	-347045.254
178180	0.022995	0.022960	-347058.120
178190	0.023051	0.023048	-347053.444
178200	0.022428	0.022424	-347067.267
178210	0.022324	0.022300	-347068.405
178220	0.022192	0.022183	-347067.543
178230	0.021887	0.021887	-347059.863
178240	0.021798	0.021797	-347051.915
178250	0.021771	0.021770	-347068.711
178260	0.022094	0.022094	-347057.052
178270	0.021626	0.021618	-347064.325
178280	0.021872	0.021855	-347048.609
178290	0.021807	0.021794	-347065.886
178300	0.022063	0.022060	-347055.570
178310	0.021779	0.021771	-347059.071
178320	0.021837	0.021834	-347064.484
178330	0.021631	0.021625	-347062.462
178340	0.021996	0.021994	-347066.525
178350	0.021769	0.021764	-347049.948
178360	0.022071	0.022069	-347048.933
178370	0.021873	0.021841	-347071.609
178380	0.021804	0.021803	-347074.964
178390	0.022204	0.022203	-347048.754
178400	0.022356	0.022355	-347053.803
178410	0.022036	0.022034	-347075.590
178420	0.022669	0.022668	-347078.828
178430	0.021846	0.021844	-347055.637
178440	0.021744	0.021739	-347073.055
178450	0.021924	0.021909	-347082.480
178460	0.022102	0.022101	-347062.096
178470	0.022491	0.022490	-347061.593
178480	0.022323	0.022319	-347073.391
178490	0.021815	0.021788	-347107.417
178500	0.022312	0.022299	-347048.166
178510	0.021934	0.021929	-347057.430
178520	0.021993	0.021961	-347067.343
178530	0.022317	0.022312	-347072.924
178540	0.021759	0.021755	-347065.920
178550	0.021773	0.021760	-347069.211
178560	0.022154	0.022153	-347064.057
178570	0.022050	0.022046	-347065.243
178580	0.021881	0.021869	-347071.429
178590	0.021840	0.021838	-347059.874
178600	0.021719	0.021710	-347067.359
178610	0.021647	0.021644	-347076.957
178620	0.022035	0.022017	-347081.871
178630	0.021776	0.021775	-347058.427
178640	0.022079	0.022078	-347076.641
178650	0.021842	0.021842	-347056.101
178660	0.022438	0.022426	-347048.959
178670	0.021892	0.021889	-347060.044
178680	0.022005	0.021998	-347071.022
178690	0.022548	0.022547	-347095.806
178700	0.022343	0.022327	-347058.052
