Gen	tau_3OneOG	lnL
2350	0.055315	-399603.938
2360	0.037224	-406915.066
2370	0.037894	-405468.832
2380	0.031639	-415634.417
2390	0.032594	-422021.154
2400	0.012910	-460942.515
2410	0.041371	-409715.153
2420	0.028625	-404481.650
2430	0.024654	-454062.388
2440	0.019301	-422987.693
2450	0.030318	-410434.482
2460	0.037182	-415484.845
2470	0.035934	-443944.258
2480	0.032800	-410329.464
2490	0.049459	-412145.701
2500	0.054652	-410726.674
2510	0.040917	-411045.862
2520	0.029744	-429767.938
2530	0.014834	-463385.997
2540	0.040219	-415734.692
2550	0.055646	-406976.274
2560	0.037093	-427760.973
2570	0.035108	-420915.825
2580	0.058863	-412779.130
2590	0.042157	-424140.732
2600	0.043796	-421369.711
2610	0.039630	-406119.470
2620	0.035272	-408512.967
2630	0.018051	-434534.137
2640	0.029258	-416948.943
2650	0.028632	-441870.057
2660	0.033554	-427276.365
2670	0.035268	-416086.536
2680	0.039267	-413306.966
2690	0.031018	-456385.932
2700	0.033207	-434404.333
2710	0.050056	-415595.231
2720	0.028562	-428719.183
2730	0.035873	-428911.556
2740	0.046861	-405006.085
2750	0.040335	-397419.954
2760	0.031646	-428878.042
2770	0.034418	-405268.820
2780	0.025210	-405994.566
2790	0.024884	-432380.955
2800	0.019255	-425101.105
2810	0.027884	-443431.045
2820	0.040463	-390058.764
2830	0.019872	-417832.493
2840	0.027144	-419366.450
2850	0.018477	-406997.553
2860	0.015914	-417370.362
2870	0.027496	-404324.317
2880	0.054989	-416090.970
2890	0.016954	-435084.340
2900	0.029106	-420697.627
2910	0.013152	-423142.301
2920	0.020946	-419139.359
2930	0.041904	-414610.818
2940	0.028213	-409866.120
2950	0.020294	-430146.816
2960	0.052333	-395923.589
2970	0.036997	-401678.370
2980	0.034816	-414955.133
2990	0.041437	-418309.906
3000	0.064821	-408091.710
3010	0.027190	-431289.048
3020	0.056385	-404400.720
3030	0.050789	-406113.154
3040	0.030286	-407410.775
3050	0.023972	-419598.099
3060	0.027811	-428275.057
3070	0.045557	-404412.599
3080	0.025955	-414666.274
3090	0.029258	-401484.281
3100	0.016524	-432002.294
3110	0.028221	-409896.637
3120	0.030248	-418257.575
3130	0.016090	-419521.405
3140	0.016826	-414883.597
3150	0.024872	-409236.907
3160	0.012698	-452491.949
3170	0.014276	-445625.705
3180	0.030321	-426357.103
3190	0.027566	-406366.161
3200	0.033873	-434868.289
3210	0.034776	-415646.958
3220	0.036764	-416525.399
3230	0.029115	-460503.012
3240	0.062183	-414112.892
3250	0.026562	-433606.495
3260	0.019879	-443792.397
3270	0.019800	-433625.927
3280	0.043584	-399768.206
3290	0.041230	-411405.697
3300	0.042875	-417687.003
3310	0.052293	-397340.150
3320	0.028890	-419671.745
3330	0.027046	-438412.105
3340	0.030287	-415796.863
3350	0.062121	-415065.554
3360	0.022227	-427763.402
3370	0.031584	-427018.343
3380	0.022854	-476154.119
3390	0.053277	-416895.304
3400	0.037268	-447058.292
3410	0.054533	-442499.298
3420	0.034885	-416333.625
3430	0.037995	-423728.919
3440	0.027465	-427167.951
3450	0.077210	-432422.099
3460	0.053277	-408734.768
3470	0.080109	-417299.691
3480	0.027140	-428945.518
3490	0.026003	-416033.264
