Gen	tau_3OneOG	lnL
2350	0.021776	-347052.819
2360	0.021737	-347070.255
2370	0.021737	-347058.952
2380	0.021638	-347064.119
2390	0.021917	-347064.489
2400	0.021741	-347055.139
2410	0.021905	-347068.544
2420	0.021771	-347064.183
2430	0.022048	-347087.401
2440	0.022070	-347069.896
2450	0.022276	-347059.071
2460	0.021910	-347080.093
2470	0.022009	-347071.212
2480	0.022251	-347077.708
2490	0.022164	-347076.268
2500	0.022383	-347066.859
2510	0.022350	-347065.474
2520	0.022066	-347072.035
2530	0.022343	-347092.709
2540	0.021935	-347075.214
2550	0.022027	-347080.015
2560	0.021973	-347070.617
2570	0.021951	-347067.049
2580	0.021884	-347059.398
2590	0.021832	-347091.490
2600	0.021984	-347060.201
2610	0.021725	-347065.600
2620	0.021849	-347060.452
2630	0.021957	-347087.846
2640	0.021810	-347082.531
2650	0.021529	-347075.216
2660	0.021405	-347069.473
2670	0.021289	-347064.821
2680	0.021271	-347070.937
2690	0.021287	-347066.284
2700	0.021241	-347056.972
2710	0.021271	-347066.435
2720	0.021556	-347064.371
2730	0.021872	-347071.216
2740	0.021770	-347078.443
2750	0.021635	-347072.157
2760	0.021478	-347061.419
2770	0.021582	-347062.056
2780	0.021653	-347071.049
2790	0.021707	-347067.036
2800	0.022007	-347072.560
2810	0.021779	-347067.946
2820	0.021878	-347069.473
2830	0.021798	-347077.095
2840	0.022033	-347069.665
2850	0.021794	-347073.235
2860	0.021824	-347064.993
2870	0.021526	-347060.692
2880	0.021630	-347066.664
2890	0.021543	-347082.468
2900	0.021478	-347062.091
2910	0.021587	-347068.349
2920	0.021566	-347071.885
2930	0.021489	-347056.229
2940	0.021439	-347066.961
2950	0.021152	-347075.375
2960	0.021391	-347084.318
2970	0.021231	-347063.742
2980	0.021152	-347066.753
2990	0.021019	-347063.052
3000	0.021064	-347064.951
3010	0.020849	-347078.829
3020	0.020924	-347064.425
3030	0.021405	-347068.117
3040	0.021605	-347075.329
3050	0.021287	-347059.201
3060	0.021315	-347058.072
3070	0.021460	-347056.715
3080	0.021246	-347073.169
3090	0.021448	-347067.145
3100	0.021093	-347059.518
3110	0.021215	-347076.490
3120	0.021009	-347068.700
3130	0.020619	-347080.200
3140	0.020694	-347065.289
3150	0.020643	-347066.330
3160	0.020751	-347068.269
3170	0.020259	-347064.667
3180	0.020704	-347076.534
3190	0.020190	-347066.966
3200	0.020442	-347061.988
3210	0.020198	-347059.550
3220	0.020400	-347057.805
3230	0.020285	-347073.247
3240	0.020507	-347068.725
3250	0.020479	-347064.765
3260	0.020498	-347072.017
3270	0.020755	-347063.577
3280	0.020338	-347090.051
3290	0.020356	-347061.941
3300	0.020320	-347059.209
3310	0.020197	-347062.686
3320	0.020008	-347066.494
3330	0.020403	-347076.857
3340	0.020560	-347083.087
3350	0.020633	-347066.916
3360	0.020730	-347074.331
3370	0.020543	-347070.887
3380	0.020466	-347077.902
3390	0.020539	-347074.122
3400	0.020289	-347072.757
3410	0.020177	-347063.253
3420	0.020387	-347062.694
3430	0.020449	-347075.998
3440	0.020407	-347071.957
3450	0.020373	-347061.817
3460	0.020404	-347071.430
3470	0.020651	-347070.682
3480	0.020139	-347053.381
3490	0.020074	-347059.931
3500	0.019973	-347065.166
3510	0.019997	-347092.847
3520	0.020384	-347057.633
3530	0.020009	-347076.430
3540	0.020291	-347073.350
3550	0.020098	-347059.351
3560	0.019973	-347057.372
3570	0.020295	-347064.737
3580	0.020630	-347070.507
3590	0.020543	-347067.947
3600	0.020498	-347067.847
3610	0.020242	-347059.748
3620	0.020019	-347068.814
3630	0.020326	-347073.285
3640	0.020365	-347068.244
3650	0.020188	-347065.312
3660	0.020184	-347070.252
3670	0.020169	-347084.880
3680	0.020307	-347074.297
3690	0.020383	-347071.923
3700	0.020373	-347074.318
3710	0.020540	-347083.030
3720	0.020481	-347060.865
3730	0.020340	-347060.343
3740	0.020280	-347062.432
3750	0.020137	-347058.075
3760	0.020559	-347060.360
3770	0.020529	-347061.447
3780	0.020207	-347055.244
3790	0.020364	-347083.133
3800	0.020535	-347054.112
3810	0.020562	-347070.016
3820	0.020606	-347073.278
3830	0.020173	-347078.293
3840	0.020466	-347063.225
3850	0.020724	-347066.891
3860	0.020708	-347063.915
3870	0.020919	-347065.994
3880	0.020943	-347074.700
3890	0.020816	-347069.705
3900	0.020881	-347071.233
3910	0.021289	-347071.032
3920	0.021330	-347064.204
3930	0.020839	-347067.275
3940	0.020721	-347064.830
3950	0.020997	-347055.739
3960	0.020856	-347072.123
3970	0.020768	-347067.972
3980	0.020527	-347069.972
3990	0.020563	-347069.123
4000	0.020751	-347086.651
4010	0.020499	-347067.700
4020	0.020618	-347065.383
4030	0.020690	-347069.753
4040	0.020654	-347083.659
4050	0.020536	-347064.200
4060	0.020426	-347062.580
4070	0.020611	-347064.509
4080	0.020464	-347063.557
4090	0.020731	-347064.353
4100	0.020531	-347063.676
4110	0.020879	-347077.843
4120	0.020596	-347066.719
4130	0.020618	-347059.976
4140	0.020824	-347070.980
4150	0.020883	-347067.746
4160	0.021106	-347072.861
4170	0.020696	-347072.508
4180	0.020788	-347075.974
4190	0.020926	-347063.199
4200	0.020987	-347063.817
4210	0.021052	-347068.314
4220	0.021098	-347067.710
4230	0.020820	-347063.264
4240	0.021218	-347070.170
4250	0.020969	-347059.648
4260	0.020952	-347064.478
4270	0.021056	-347085.193
4280	0.021095	-347064.477
4290	0.020856	-347062.268
4300	0.020939	-347083.309
4310	0.021316	-347077.571
4320	0.021075	-347064.924
4330	0.020962	-347060.590
4340	0.020938	-347070.459
4350	0.020832	-347071.974
4360	0.020844	-347067.561
4370	0.020735	-347074.643
4380	0.020891	-347073.910
4390	0.020702	-347071.000
4400	0.020288	-347065.340
4410	0.020644	-347065.506
4420	0.020751	-347074.653
4430	0.020578	-347067.518
4440	0.020610	-347078.648
4450	0.020824	-347061.982
4460	0.021061	-347074.311
4470	0.020729	-347066.283
4480	0.020688	-347068.018
4490	0.020645	-347073.561
4500	0.020860	-347064.988
4510	0.020429	-347062.824
4520	0.020819	-347075.741
4530	0.020909	-347082.914
4540	0.020630	-347086.756
4550	0.020547	-347060.022
4560	0.020618	-347067.643
4570	0.020858	-347063.467
4580	0.021061	-347068.355
4590	0.020778	-347068.811
4600	0.020826	-347067.838
4610	0.020502	-347069.232
4620	0.020493	-347079.754
4630	0.020782	-347063.350
4640	0.020884	-347071.338
4650	0.020355	-347070.801
4660	0.020871	-347059.503
4670	0.021080	-347069.235
4680	0.021292	-347069.651
4690	0.021338	-347081.840
4700	0.020692	-347061.109
4710	0.020568	-347061.970
4720	0.020875	-347083.944
4730	0.021113	-347076.946
4740	0.020958	-347068.749
4750	0.021046	-347073.884
4760	0.020854	-347059.561
4770	0.020671	-347065.246
4780	0.020840	-347059.138
4790	0.020759	-347065.584
4800	0.020949	-347064.347
4810	0.021042	-347067.786
4820	0.021122	-347069.749
4830	0.020854	-347076.256
4840	0.020713	-347061.870
4850	0.020560	-347086.339
4860	0.020792	-347070.647
4870	0.020873	-347080.924
4880	0.020964	-347067.597
4890	0.020790	-347065.955
4900	0.021047	-347070.140
4910	0.021029	-347048.766
4920	0.021077	-347076.243
4930	0.021014	-347075.389
4940	0.020679	-347075.343
4950	0.020814	-347059.967
4960	0.020691	-347069.085
4970	0.020709	-347058.737
4980	0.020606	-347064.668
4990	0.020602	-347080.370
5000	0.020485	-347071.334
5010	0.020715	-347075.284
5020	0.020646	-347075.641
5030	0.020259	-347071.428
5040	0.020458	-347075.862
5050	0.020414	-347058.650
5060	0.020388	-347060.424
5070	0.020421	-347074.767
5080	0.020614	-347074.052
5090	0.020758	-347062.601
5100	0.020586	-347086.858
5110	0.020676	-347076.191
5120	0.020477	-347068.670
5130	0.020247	-347052.400
5140	0.020646	-347077.009
5150	0.020177	-347063.181
5160	0.020298	-347076.663
5170	0.020305	-347086.826
5180	0.020370	-347062.258
5190	0.019984	-347090.639
5200	0.020512	-347065.682
5210	0.020240	-347076.231
5220	0.020428	-347082.590
5230	0.020472	-347069.956
5240	0.020404	-347057.373
5250	0.020637	-347072.397
5260	0.020491	-347065.573
5270	0.020311	-347062.255
5280	0.020461	-347073.508
5290	0.020397	-347066.593
5300	0.020449	-347078.181
5310	0.020768	-347063.414
5320	0.020783	-347080.301
5330	0.020973	-347068.039
5340	0.020850	-347068.452
5350	0.020724	-347086.645
5360	0.020736	-347076.005
5370	0.020653	-347086.890
5380	0.021100	-347063.582
5390	0.021308	-347069.985
5400	0.021201	-347082.431
5410	0.021310	-347062.970
5420	0.021158	-347073.642
5430	0.020989	-347082.360
5440	0.020755	-347086.539
5450	0.020744	-347081.084
5460	0.020884	-347082.649
5470	0.020944	-347065.719
5480	0.020798	-347056.114
5490	0.020766	-347066.210
5500	0.020894	-347077.383
5510	0.020569	-347073.302
5520	0.020480	-347075.858
5530	0.020553	-347081.177
5540	0.020193	-347080.562
5550	0.020109	-347080.762
5560	0.020260	-347063.668
5570	0.020354	-347066.783
5580	0.020145	-347073.086
5590	0.020380	-347063.870
5600	0.020564	-347063.877
5610	0.020354	-347068.788
5620	0.020520	-347060.319
5630	0.020543	-347065.193
5640	0.020413	-347071.517
5650	0.020474	-347079.765
5660	0.020315	-347075.249
5670	0.020091	-347066.970
5680	0.020594	-347074.074
5690	0.020564	-347070.175
5700	0.020584	-347058.879
5710	0.020504	-347083.990
5720	0.020440	-347077.075
5730	0.020612	-347067.011
5740	0.020475	-347075.844
5750	0.020410	-347055.919
5760	0.020635	-347070.001
5770	0.020691	-347068.472
5780	0.020825	-347058.984
5790	0.020872	-347070.573
5800	0.021016	-347071.166
5810	0.021046	-347081.655
5820	0.021013	-347070.672
5830	0.021342	-347067.630
5840	0.021007	-347056.732
5850	0.021027	-347063.919
5860	0.020986	-347069.129
5870	0.021126	-347067.360
5880	0.020648	-347086.890
5890	0.020593	-347064.008
5900	0.020873	-347068.049
5910	0.020986	-347074.380
5920	0.020824	-347065.635
5930	0.020883	-347065.016
5940	0.020641	-347062.528
5950	0.020949	-347060.617
5960	0.020979	-347063.283
5970	0.020902	-347072.797
5980	0.020994	-347069.209
5990	0.020751	-347070.887
6000	0.020922	-347067.867
6010	0.021022	-347073.778
6020	0.021019	-347069.844
6030	0.020778	-347085.404
6040	0.020938	-347078.781
6050	0.020712	-347071.374
6060	0.021044	-347072.419
6070	0.021165	-347074.053
6080	0.021310	-347064.543
6090	0.021030	-347070.583
6100	0.021154	-347065.203
6110	0.021398	-347062.191
6120	0.021255	-347071.912
6130	0.021255	-347076.887
6140	0.020780	-347079.809
6150	0.021176	-347073.317
6160	0.020767	-347064.956
6170	0.021033	-347060.771
6180	0.020996	-347077.110
6190	0.020958	-347069.698
6200	0.021008	-347068.953
6210	0.020889	-347053.701
6220	0.021188	-347073.192
6230	0.020528	-347076.976
6240	0.020814	-347071.926
6250	0.020728	-347076.330
6260	0.021056	-347050.631
6270	0.020848	-347066.365
6280	0.020635	-347086.089
6290	0.020927	-347077.206
6300	0.020832	-347080.801
6310	0.020821	-347066.198
6320	0.020813	-347059.281
6330	0.020757	-347079.842
6340	0.020968	-347069.662
6350	0.020990	-347073.794
6360	0.020854	-347069.834
6370	0.020840	-347059.271
6380	0.020954	-347065.836
6390	0.021169	-347061.754
6400	0.021056	-347072.644
6410	0.021320	-347063.627
6420	0.021069	-347076.459
6430	0.021394	-347059.027
6440	0.021820	-347080.708
6450	0.021727	-347052.407
6460	0.021992	-347073.977
6470	0.022213	-347063.195
6480	0.022159	-347070.076
6490	0.022157	-347072.747
6500	0.022082	-347076.384
6510	0.021995	-347058.188
6520	0.021704	-347085.140
6530	0.021849	-347078.603
6540	0.021937	-347073.045
6550	0.021893	-347078.882
6560	0.021835	-347075.265
6570	0.021916	-347067.719
6580	0.021945	-347071.119
6590	0.022093	-347063.457
6600	0.022121	-347076.627
6610	0.022372	-347067.960
6620	0.022285	-347062.298
6630	0.022328	-347071.230
6640	0.022143	-347060.808
6650	0.021958	-347076.286
6660	0.022205	-347071.255
6670	0.021985	-347068.014
6680	0.022241	-347081.821
6690	0.022490	-347091.982
