Gen	tau_4MEFEOG	tau_5MEFE	lnL
1730	0.025340	0.014617	-440752.424
1740	0.020137	0.011132	-450289.402
1750	0.029494	0.022772	-404913.111
1760	0.024085	0.022190	-427215.698
1770	0.018066	0.015623	-434354.457
1780	0.023405	0.011862	-429979.315
1790	0.018910	0.009338	-429135.157
1800	0.034922	0.014822	-426098.437
1810	0.013361	0.010428	-427202.873
1820	0.030645	0.015601	-402097.035
1830	0.015804	0.013418	-419173.741
1840	0.016105	0.007459	-430908.877
1850	0.010270	0.008259	-453918.464
1860	0.022886	0.014168	-441730.644
1870	0.021520	0.008071	-436682.113
1880	0.016134	0.012208	-434168.326
1890	0.018336	0.015077	-420194.019
1900	0.042702	0.025688	-452404.392
1910	0.022869	0.016005	-417233.587
1920	0.048338	0.030227	-437054.824
1930	0.068682	0.046615	-445722.913
1940	0.058839	0.024534	-431723.278
1950	0.037766	0.024757	-456045.269
1960	0.043114	0.014239	-456611.178
1970	0.033742	0.025357	-431588.115
1980	0.041921	0.032995	-437891.311
1990	0.025942	0.014192	-437826.481
2000	0.025095	0.018145	-417798.854
2010	0.030414	0.026684	-435708.017
2020	0.039814	0.020215	-449732.635
2030	0.024575	0.019726	-426715.846
2040	0.032550	0.014631	-454519.197
2050	0.041387	0.018230	-427112.883
2060	0.034757	0.019633	-429734.307
2070	0.035224	0.022841	-432863.037
2080	0.027280	0.019703	-426674.957
2090	0.032863	0.025334	-408275.764
2100	0.025791	0.019521	-408683.335
2110	0.017202	0.007274	-441074.891
2120	0.039658	0.035006	-417232.770
2130	0.030786	0.021513	-428684.106
2140	0.020920	0.013053	-450452.315
2150	0.019058	0.014579	-440587.510
2160	0.022933	0.012600	-444164.125
2170	0.015007	0.009265	-442498.053
2180	0.028929	0.020178	-412788.284
2190	0.021039	0.018676	-429871.615
2200	0.020734	0.020420	-438074.048
2210	0.035151	0.034618	-432288.154
2220	0.030764	0.012752	-446238.709
2230	0.061303	0.029558	-441823.604
2240	0.024267	0.015439	-450857.904
2250	0.028905	0.014112	-416391.532
2260	0.028023	0.026721	-408703.156
2270	0.020387	0.013719	-453068.865
2280	0.020577	0.018769	-433939.313
2290	0.019468	0.010752	-491489.097
2300	0.034627	0.015935	-453142.487
2310	0.034627	0.019645	-423305.021
2320	0.008709	0.003659	-485040.368
2330	0.049091	0.013580	-429395.208
2340	0.069728	0.023506	-463194.257
2350	0.054197	0.028492	-474835.403
2360	0.023138	0.020070	-451683.117
2370	0.022088	0.014323	-453348.041
2380	0.025800	0.018087	-434174.059
2390	0.040372	0.031386	-452949.416
2400	0.033950	0.026401	-442080.246
2410	0.032888	0.024675	-426567.127
2420	0.020123	0.015724	-432800.142
2430	0.010675	0.009916	-454100.139
2440	0.024918	0.022934	-426769.992
2450	0.023574	0.016087	-475789.116
2460	0.038310	0.013667	-436361.401
2470	0.071204	0.027069	-416738.293
2480	0.022441	0.013926	-441470.799
2490	0.019019	0.008938	-461484.923
2500	0.019686	0.007438	-470450.959
2510	0.029405	0.016659	-459666.403
2520	0.045295	0.034663	-420266.050
2530	0.064158	0.020412	-457239.840
2540	0.027519	0.023166	-446206.975
2550	0.019609	0.015851	-468567.900
2560	0.044114	0.028809	-423446.539
2570	0.020298	0.011216	-442384.753
2580	0.058728	0.025261	-429678.282
2590	0.022270	0.012481	-468670.657
2600	0.113119	0.029934	-419989.036
2610	0.055886	0.022323	-429954.848
2620	0.038281	0.016207	-447958.735
2630	0.143696	0.088070	-408763.517
2640	0.041162	0.017218	-473002.191
2650	0.100549	0.052343	-412341.875
2660	0.055041	0.046541	-430954.792
2670	0.024465	0.015537	-476596.889
2680	0.048031	0.040534	-454598.786
2690	0.029793	0.024234	-466870.207
2700	0.053308	0.051441	-451686.205
2710	0.030319	0.012943	-464743.184
2720	0.027790	0.025714	-433847.243
2730	0.035818	0.033373	-436641.666
2740	0.048054	0.018925	-458153.899
2750	0.114623	0.056640	-411376.188
2760	0.059636	0.049768	-423984.343
2770	0.058248	0.047416	-422573.805
2780	0.042218	0.024771	-428654.320
2790	0.035681	0.015816	-443304.097
2800	0.040309	0.030958	-419547.713
2810	0.062026	0.046715	-445240.943
2820	0.062552	0.030081	-411235.954
2830	0.008910	0.007272	-483711.951
2840	0.022562	0.011602	-447892.212
2850	0.027046	0.018853	-434196.467
2860	0.052532	0.035864	-426217.356
2870	0.077105	0.023086	-430940.692
2880	0.100701	0.025824	-414585.181
2890	0.044585	0.010977	-462298.018
2900	0.036942	0.020600	-444971.157
2910	0.032835	0.015205	-451938.859
2920	0.034066	0.026385	-445795.196
2930	0.023162	0.010451	-463978.288
2940	0.016570	0.009217	-485168.292
2950	0.028292	0.011466	-470369.042
2960	0.025056	0.022692	-450880.806
2970	0.027934	0.017800	-477184.613
2980	0.030665	0.026519	-445663.752
2990	0.043706	0.020360	-431656.262
3000	0.033114	0.016261	-451440.474
3010	0.030632	0.022706	-445951.659
3020	0.027351	0.020538	-434841.345
3030	0.032374	0.016030	-452771.609
3040	0.030394	0.009929	-476058.440
3050	0.017811	0.012701	-460854.068
3060	0.087874	0.073905	-398619.143
3070	0.076757	0.023550	-449128.279
3080	0.124287	0.021877	-469007.357
3090	0.066534	0.030837	-424123.235
3100	0.081524	0.014257	-435010.003
3110	0.063435	0.019841	-404699.352
3120	0.058668	0.027174	-401808.722
3130	0.054034	0.017920	-407319.031
3140	0.042370	0.035496	-410140.783
3150	0.051065	0.038336	-403094.709
3160	0.040553	0.029281	-459584.039
3170	0.088010	0.031058	-452144.948
3180	0.078670	0.046208	-458239.745
3190	0.044003	0.021952	-453631.238
3200	0.029602	0.008463	-491572.300
3210	0.012055	0.011051	-482389.707
3220	0.029959	0.023299	-447491.788
3230	0.028377	0.013823	-434318.461
3240	0.049998	0.011427	-428662.927
3250	0.047455	0.035407	-416009.813
3260	0.021402	0.014349	-435688.285
3270	0.023942	0.015321	-424010.097
3280	0.013287	0.009825	-436517.992
3290	0.035510	0.024901	-416334.114
3300	0.018520	0.012314	-421001.768
3310	0.045547	0.026562	-413005.769
3320	0.066452	0.019569	-422492.248
3330	0.016765	0.008095	-458099.173
3340	0.057876	0.025889	-449514.304
3350	0.036871	0.016394	-416544.504
3360	0.034118	0.026265	-413716.094
3370	0.057533	0.029891	-406163.393
3380	0.051505	0.023661	-412159.650
3390	0.049077	0.025741	-419381.687
3400	0.031498	0.024546	-434983.006
3410	0.037363	0.035242	-415888.197
3420	0.066418	0.030855	-448962.588
3430	0.038683	0.022806	-423145.241
3440	0.053028	0.018087	-430084.220
3450	0.041391	0.026020	-426852.934
3460	0.039122	0.028560	-402663.701
3470	0.028328	0.012291	-449040.747
3480	0.053813	0.038572	-409476.937
3490	0.049688	0.018634	-421422.535
3500	0.036949	0.020088	-404173.060
3510	0.031519	0.013825	-425213.306
3520	0.030955	0.024519	-410970.179
3530	0.015609	0.011817	-455518.067
3540	0.078781	0.041455	-410876.111
3550	0.040977	0.024680	-450576.318
3560	0.076921	0.063730	-436951.776
3570	0.052770	0.018590	-450040.241
3580	0.087113	0.034648	-441730.747
3590	0.108745	0.040059	-439995.555
3600	0.042578	0.030178	-439386.905
3610	0.042466	0.038951	-456810.555
3620	0.047312	0.038260	-436373.914
3630	0.044623	0.033607	-447813.957
3640	0.050993	0.040702	-433546.017
3650	0.035162	0.026330	-433039.398
3660	0.024630	0.013043	-434105.992
3670	0.041388	0.040364	-404731.984
3680	0.039071	0.031716	-424446.778
3690	0.029426	0.013600	-432518.371
3700	0.033592	0.016797	-436642.968
3710	0.040126	0.019522	-436308.970
3720	0.062713	0.009548	-471237.954
3730	0.044663	0.020477	-452315.739
3740	0.018711	0.011142	-447022.205
3750	0.022407	0.017541	-439971.501
3760	0.029575	0.022452	-428989.445
3770	0.011852	0.006703	-464107.389
3780	0.027776	0.010843	-443772.851
3790	0.034902	0.021731	-429509.007
3800	0.041231	0.014108	-445975.363
3810	0.060657	0.026266	-443241.210
3820	0.023708	0.013321	-429708.151
3830	0.034562	0.007435	-448356.510
3840	0.039279	0.029579	-401192.814
3850	0.029517	0.024500	-448841.579
